iModelChoice,dMutationStrength,dFracKilled,dMetabolicCost,gtime,popstock,popsize,bcnest_avg,bcnest_std,bcind_avg,bcind_std,ntrlbc_avg,ntrlbc_std,uniq_lins,relatedness,int_avg,int_std,slope_avg,slope_std,cueabun_avg,cueabun_std,ntrlabun_avg,ntrlabun_std,steal,sucsteal,leave,sucfor,rentry,sucrentr,sucfood,offprings_avg,offspring_std
0,0.1,0.4,40,100.1,52,34,0.478558,0.10283,0.466675,0.124582,0.478558,0.10283,34,0.985636,-0.0426631,0.0935174,0.0175234,0.0953153,87.1023,20.3939,87.1023,20.3939,4525,4397,18168,13643,17894,13147,13449,0,0
0,0.1,0.4,40,200.202,238,50,0.485588,0.109846,0.474906,0.123981,0.468837,0.109145,30,0.991563,-0.0327882,0.0934418,0.0100082,0.0961411,81.459,16.8853,82.6677,15.1406,8260,8017,35294,27034,34998,26233,26804,0.4,0.663325
0,0.1,0.4,40,300.307,23,37,0.480551,0.112255,0.466834,0.129729,0.456753,0.103265,25,0.988424,-0.0409957,0.0869579,0.0211569,0.0934714,76.7129,14.1203,79.2738,14.6072,14303,13852,55475,41172,55107,40039,40921,0.459459,0.681596
0,0.1,0.4,40,400.409,175,50,0.498269,0.127524,0.485595,0.138855,0.452583,0.108154,20,0.992879,-0.0222177,0.095161,0.0119455,0.0902298,72.7174,15.8101,77.2033,14.4619,18887,18323,73981,55094,73558,53617,54781,0.7,1.00499
0,0.1,0.4,40,500.509,30,38,0.502949,0.129544,0.487025,0.144251,0.456532,0.109667,15,0.996382,-0.02337,0.0890005,0.00781725,0.094819,68.709,15.1784,74.5205,13.5509,25325,24508,94647,69322,94170,67482,68998,0.868421,1.08023
0,0.1,0.4,40,600.611,149,50,0.5443,0.145128,0.528013,0.154879,0.46278,0.116346,14,0.996443,-0.0156017,0.0855478,0.011995,0.0940168,62.1987,16.3144,75.5891,13.0085,30276,29312,113655,83379,113118,81103,82983,1.04,1.39943
0,0.1,0.4,40,700.718,37,41,0.560868,0.148584,0.54143,0.161267,0.45954,0.115386,14,0.996959,-0.00734502,0.0860038,0.0232207,0.0977093,57.9481,13.9465,75.829,13.6899,38011,36709,135964,97953,135381,95245,97558,1.04878,1.34257
0,0.1,0.4,40,800.819,134,50,0.585206,0.140747,0.565168,0.15263,0.467527,0.117961,12,0.993833,-0.0134702,0.08942,0.0165091,0.095272,55.19,16.5421,76.9404,17.2191,43983,42393,156261,112278,155602,109069,111807,0.88,1.27499
0,0.1,0.4,40,900.919,33,44,0.592208,0.144821,0.570146,0.158034,0.461889,0.118781,12,0.993857,-0.0126228,0.0863395,0.0116832,0.0970646,52.3484,15.4582,78.9,16.8,52187,50239,179052,126865,178372,123260,126422,0.931818,1.28625
0,0.1,0.4,40,1001.02,82,50,0.605631,0.146564,0.582975,0.157244,0.464503,0.12876,9,0.994033,-0.000505404,0.0995371,0.00224981,0.0989733,45.4618,13.9716,79.659,18.0924,59683,57428,201163,141480,200381,137348,140933,1,1.35647
0,0.1,0.4,40,1101.12,22,45,0.610316,0.147336,0.586299,0.159685,0.464496,0.131476,9,0.99585,-0.00124857,0.0983163,0.00231365,0.102728,43.2725,12.478,79.4123,18.5258,68585,65925,224720,156135,223914,151446,155612,1.04444,1.36554
0,0.1,0.4,40,1201.22,53,50,0.599947,0.146608,0.576415,0.156219,0.474268,0.139704,6,0.994264,0.0112344,0.111129,-0.0160922,0.102796,42.4339,14.7173,82.3504,21.6066,76550,73492,247320,170770,246454,165408,170173,1.02,1.42113
0,0.1,0.4,40,1301.32,19,43,0.602139,0.151467,0.576335,0.162245,0.47894,0.149375,6,0.992709,0.00456492,0.106148,-0.0073114,0.093011,39.1045,10.3071,80.1417,20.4454,84838,81405,270192,185354,269302,179276,184773,1.16279,1.47743
0,0.1,0.4,40,1401.43,16,50,0.617334,0.147092,0.592256,0.157362,0.481038,0.150744,6,0.99081,-0.0114637,0.104158,-0.00584867,0.0958795,40.9351,12.5404,82.8995,19.9628,91920,88109,291801,199881,290805,193053,199241,1.26,1.79789
0,0.1,0.4,40,1501.53,27,45,0.627425,0.150592,0.600065,0.162408,0.473261,0.152009,6,0.993515,-0.0128664,0.103976,-0.00141187,0.0979453,39.0446,11.694,81.2337,18.3512,100819,96613,315334,214515,314351,207172,213880,1.4,1.8427
0,0.1,0.4,40,1601.63,14,50,0.626322,0.146601,0.60005,0.157334,0.491607,0.161499,6,0.993939,-0.0150121,0.0983642,0.00602742,0.0928209,37.4328,12.3926,79.4516,17.0481,108525,104018,337609,229084,336535,221189,228411,1.36,1.98756
0,0.1,0.4,40,1701.74,29,46,0.625408,0.148281,0.597854,0.159309,0.487671,0.160653,6,0.993762,-0.0188764,0.098283,0.00881608,0.096099,35.5756,10.6745,80.2546,16.8569,118035,113173,361850,243815,360762,235432,243126,1.47826,2.02955
0,0.1,0.4,40,1801.84,6,50,0.622509,0.151826,0.594852,0.160147,0.435405,0.145854,5,0.994345,-0.00336739,0.104382,-0.0104246,0.10832,34.7604,11.5905,84.6814,18.9646,126489,121359,384949,258460,383754,249553,257739,1.38,2.31422
0,0.1,0.4,40,1901.94,19,47,0.618251,0.154938,0.589983,0.163121,0.437149,0.146716,5,0.992621,-0.00762745,0.103443,-0.0018267,0.104539,32.9859,9.45103,82.645,16.7901,135694,130225,408841,273147,407640,263638,272420,1.46809,2.35969
0,0.1,0.4,40,2002.04,13,50,0.623138,0.150948,0.594785,0.158932,0.431658,0.138787,5,0.99583,-0.0208373,0.0991711,0.0077934,0.087971,32.268,11.0741,85.1082,18.6939,144450,138659,432309,287859,431036,277768,287073,1.66,2.60469
0,0.1,0.4,40,2102.14,26,46,0.627356,0.154066,0.59734,0.162754,0.432872,0.144172,5,0.996419,-0.0189597,0.098494,0.00994986,0.0872119,30.1337,8.41919,83.2443,17.2412,153507,147415,456039,302532,454758,291919,301714,1.80435,2.66719
0,0.1,0.4,40,2202.25,7,50,0.62304,0.153449,0.594982,0.161616,0.403925,0.121601,4,0.996541,-0.0366432,0.0905039,0.0146266,0.0883648,32.4759,12.5526,90.5831,22.0316,161785,155409,479024,317239,477634,306138,316378,1.46,2.31698
0,0.1,0.4,40,2302.35,11,47,0.621432,0.154028,0.59231,0.162628,0.404756,0.123239,4,0.996134,-0.0392695,0.0900924,0.0173676,0.0896055,30.895,11.0122,91.8889,21.9561,171393,164759,503310,331917,501927,320534,331057,1.55319,2.3593
0,0.1,0.4,40,2402.45,13,50,0.616149,0.156962,0.588614,0.163491,0.402703,0.118673,4,0.996002,-0.0258058,0.0945052,0.00889572,0.0951866,31.221,11.7649,91.5827,16.4682,180042,173189,526608,346566,525110,334802,345609,1.62,2.675
0,0.1,0.4,40,2502.55,28,46,0.619899,0.160725,0.590203,0.167475,0.404919,0.120913,4,0.997358,-0.0279644,0.0948469,0.0135151,0.0976861,29.2078,9.58352,92.0468,16.2981,189439,182238,550683,361244,549201,349143,360296,1.76087,2.74404
0,0.1,0.4,40,2602.65,16,50,0.611966,0.152334,0.584901,0.159973,0.393508,0.117365,3,0.996077,-0.0186834,0.102771,-0.0149579,0.101935,32.4469,13.0458,96.4865,17.2652,197804,190303,573847,376043,572257,363531,375045,1.48,2.35151
0,0.1,0.4,40,2702.76,19,47,0.613074,0.15563,0.584768,0.163346,0.392887,0.11979,3,0.99665,-0.0198963,0.0951086,-0.0109448,0.102849,30.2409,9.30598,96.4475,17.4627,207082,199307,597798,390716,596238,377841,389744,1.57447,2.39454
0,0.1,0.4,40,2802.86,13,50,0.577673,0.153975,0.551843,0.159189,0.387926,0.1151,3,0.995648,0.00963545,0.0997493,0.0168117,0.09475,31.998,12.5993,94.8132,17.224,215901,207869,621409,405508,619739,392111,404455,1.84,2.57185
0,0.1,0.4,40,2902.96,17,46,0.577607,0.15615,0.550595,0.161653,0.392111,0.117498,3,0.996239,0.00386915,0.098606,0.0135923,0.0954671,29.8805,9.56517,94.0386,17.1768,225353,216825,645547,420194,643886,406188,419165,1.78261,2.34903
0,0.1,0.4,40,3003.06,17,50,0.625827,0.176823,0.594467,0.178941,0.414492,0.124363,3,0.995674,-0.00292569,0.0875994,0.0186395,0.0991597,28.0884,9.19591,95.6681,21.3457,233617,224671,668543,434926,666773,420186,433795,1.8,2.54558
0,0.1,0.4,40,3103.17,4,50,0.625827,0.176823,0.594467,0.178941,0.414492,0.124363,3,0.997128,-0.00292569,0.0875994,0.0186395,0.0991597,28.0884,9.19591,95.6681,21.3457,243824,234415,693524,449700,691751,434475,448597,1.8,2.54558
0,0.1,0.4,40,3203.27,12,50,0.626141,0.164201,0.592919,0.166473,0.39792,0.13102,3,0.994499,-0.0189376,0.0933652,0.0188286,0.106485,29.1152,13.4201,102.958,22.2369,253774,243920,718334,464560,716459,448750,463372,2.08,2.74109
0,0.1,0.4,40,3303.37,24,46,0.625421,0.166132,0.590377,0.168566,0.398837,0.129653,3,0.994841,-0.0237982,0.0932672,0.0228896,0.105855,27.1816,11.2928,102.039,21.2554,263260,253036,742506,479246,740631,463035,478070,2.26087,2.78532
0,0.1,0.4,40,3403.47,12,50,0.668049,0.16265,0.63299,0.167584,0.384099,0.126823,3,0.996152,-0.0277996,0.0794285,0.0151888,0.0929706,26.0889,12.3904,100.573,17.2812,271702,261119,765629,493927,763634,477233,492679,2.18,2.90303
0,0.1,0.4,40,3503.58,23,47,0.667226,0.16679,0.63034,0.171166,0.388773,0.129318,3,0.993426,-0.026093,0.0810351,0.015741,0.0954737,24.0979,9.416,100.292,17.0879,281063,270129,789686,508623,787695,491569,507356,2.31915,2.93987
0,0.1,0.4,40,3603.68,11,50,0.677089,0.165844,0.639725,0.169762,0.406344,0.134477,3,0.994891,-0.017574,0.0807116,0.0361253,0.0881778,25.4683,11.2868,100.834,21.3825,290000,278712,813298,523298,811212,505865,521996,2.16,3.05523
0,0.1,0.4,40,3703.78,16,49,0.676466,0.166612,0.638584,0.170367,0.406681,0.134897,3,0.994724,-0.0184675,0.0812859,0.0379971,0.0880841,24.7684,10.2712,100.572,21.52,299956,288147,838004,538048,835910,520228,536757,2.20408,3.07046
0,0.1,0.4,40,3803.89,23,50,0.674678,0.160005,0.637443,0.164274,0.389809,0.122623,3,0.996109,-0.0258714,0.0830012,0.0390145,0.0785298,24.6482,11.0481,104.306,17.1108,309628,297389,862430,552802,860258,534501,551454,2.22,3.2205
0,0.1,0.4,40,3903.99,29,49,0.673262,0.161333,0.635578,0.165279,0.389745,0.123327,3,0.995937,-0.0271861,0.0833269,0.0413167,0.0776387,23.9261,9.92363,104.463,17.2485,319595,306908,887129,567534,884950,548880,566183,2.26531,3.23738
0,0.1,0.4,40,4004.1,16,50,0.685996,0.167084,0.646211,0.170596,0.399278,0.134887,3,0.996762,-0.0389252,0.0832162,0.0305032,0.0918292,24.3844,10.792,108.194,21.122,329074,315910,911414,582340,909137,563313,580930,2.14,3.01337
0,0.1,0.4,40,4104.2,30,49,0.689053,0.167381,0.64849,0.171165,0.391837,0.130398,3,0.996657,-0.0387564,0.0840526,0.0309335,0.0927115,23.6612,9.62771,108.408,21.2824,339004,325419,936080,597076,933822,577754,595672,2.18367,3.02826
0,0.1,0.4,40,4204.3,15,50,0.696095,0.162915,0.653807,0.167107,0.397103,0.129776,3,0.995539,-0.0253317,0.0948819,0.0229981,0.0970926,23.9471,9.88337,105.938,18.2532,348711,334761,960642,611931,958277,592251,610458,2.06,2.85244
0,0.1,0.4,40,4304.4,27,49,0.698928,0.163158,0.655796,0.167708,0.391163,0.127256,3,0.996367,-0.0297302,0.0906584,0.0245647,0.0974508,23.3214,8.94986,106.129,18.3888,358866,344465,985541,626675,983156,606579,625186,2.10204,2.86602
0,0.1,0.4,40,4404.5,17,50,0.69799,0.169872,0.655195,0.172486,0.401658,0.135089,3,0.996133,-0.0236152,0.102785,0.00571262,0.0927191,23.708,10.1522,108.607,19.0033,368438,353594,1.00996e+06,641526,1.0075e+06,620991,639990,2.08,2.90407
0,0.1,0.4,40,4504.6,17,49,0.698691,0.170983,0.655259,0.173547,0.401297,0.136593,3,0.995841,-0.0216644,0.102908,0.00863558,0.0913515,23.2353,9.69538,108.584,19.1955,378439,363113,1.03471e+06,656274,1.03226e+06,635285,654733,2.12245,2.91815
0,0.1,0.4,40,4604.7,14,50,0.71053,0.165895,0.666156,0.169118,0.383956,0.123884,3,0.995441,-0.0184349,0.0920601,0.0223546,0.111502,23.5228,11.1224,112.293,21.552,388358,372555,1.0595e+06,671137,1.05693e+06,649601,669523,2.24,3.08908
0,0.1,0.4,40,4704.8,12,50,0.71053,0.165895,0.666156,0.169118,0.383956,0.123884,3,0.993613,-0.0184349,0.0920601,0.0223546,0.111502,23.5228,11.1224,112.293,21.552,398553,382098,1.08444e+06,685885,1.08186e+06,663935,684270,2.24,3.08908
0,0.1,0.4,40,4804.9,14,50,0.716067,0.166136,0.672595,0.170504,0.38767,0.123801,3,0.994901,-0.0352233,0.0953953,0.0163082,0.115931,24.6527,12.4796,112.314,22.2299,408425,391381,1.10918e+06,700754,1.1065e+06,678280,699081,2.2,3.18119
0,0.1,0.4,40,4905.01,18,48,0.716545,0.167521,0.671654,0.171685,0.384468,0.12338,3,0.995865,-0.0383385,0.0943027,0.0190074,0.116243,23.6799,11.7629,111.641,22.4082,418319,400802,1.13381e+06,715495,1.13114e+06,692649,713801,2.29167,3.21428
0,0.1,0.4,40,5005.12,12,50,0.705922,0.166712,0.661675,0.16955,0.389013,0.127916,2,0.996186,-0.0316577,0.105566,0.00468232,0.0988995,23.489,10.9312,112.948,22.7052,427253,409301,1.15751e+06,730261,1.15475e+06,707037,728526,2.44,3.38916
0,0.1,0.4,40,5105.22,7,49,0.708158,0.166761,0.663042,0.169833,0.3902,0.12801,2,0.996862,-0.0329571,0.106241,0.00532311,0.0998008,22.8301,10.0111,113.105,22.9087,437385,418961,1.18238e+06,744991,1.1796e+06,721313,743244,2.4898,3.40541
0,0.1,0.4,40,5205.32,15,50,0.719802,0.158413,0.673377,0.163606,0.366938,0.120505,2,0.996947,-0.0113813,0.103744,0.0229977,0.0846248,21.7822,9.91029,117.494,26.7381,447089,428228,1.20688e+06,759792,1.20403e+06,735607,757993,2.78,3.83296
0,0.1,0.4,40,5305.42,8,49,0.720817,0.158872,0.673838,0.16429,0.365631,0.12111,2,0.996622,-0.0156465,0.100363,0.0229729,0.0854838,21.6393,9.95979,117.499,27.0095,456904,437477,1.23143e+06,774529,1.22857e+06,749826,772730,2.83673,3.85104
0,0.1,0.4,40,5405.53,19,50,0.710492,0.162096,0.664829,0.165846,0.371061,0.114495,2,0.994879,-0.0209324,0.113759,0.00715298,0.0942982,22.6097,10.5296,122.336,27.7059,466647,446642,1.25596e+06,789309,1.25299e+06,764054,787449,3.02,4.14483
0,0.1,0.4,40,5505.63,34,48,0.712119,0.162706,0.665378,0.166937,0.372236,0.114552,2,0.995683,-0.0296742,0.105319,0.0110522,0.0942473,22.1426,10.1666,120.486,26.7178,476389,455943,1.28043e+06,804041,1.27747e+06,778329,802194,3.14583,4.18325
0,0.1,0.4,40,5605.73,42,50,0.702583,0.160403,0.656641,0.163536,0.373828,0.117046,2,0.993492,0.00576728,0.0948104,0.00444309,0.0903362,22.4216,11.7276,114.86,22.6239,485816,464933,1.30458e+06,818763,1.30151e+06,792568,816857,3.38,4.57336
0,0.1,0.4,40,5705.83,28,49,0.703839,0.162167,0.656962,0.165154,0.374316,0.117477,2,0.996944,0.00468511,0.0954667,0.00292982,0.0906238,21.6197,10.4012,115.062,22.8087,495860,474393,1.32934e+06,833478,1.32628e+06,806677,831574,3.44898,4.59397
0,0.1,0.4,40,5805.93,25,50,0.707162,0.164257,0.6627,0.167299,0.364705,0.119266,2,0.996361,-0.0133231,0.089512,0.0102836,0.0865682,22.9529,11.1953,116.703,23.9573,504895,482964,1.35308e+06,848189,1.34992e+06,820822,846242,3.34,4.55021
0,0.1,0.4,40,5906.04,27,47,0.709634,0.166296,0.66246,0.169162,0.365768,0.119209,2,0.997954,-0.0105613,0.0905958,0.0109748,0.0889795,21.4239,9.68666,116.068,24.0107,514663,492255,1.37758e+06,862915,1.37441e+06,835069,860956,3.55319,4.61177
0,0.1,0.4,40,6006.14,19,50,0.707191,0.165627,0.661439,0.166585,0.360503,0.109591,1,0.996416,-0.000893967,0.0944291,0.0139204,0.0859313,22.5512,13.1193,120.15,25.5474,523490,500637,1.40112e+06,877629,1.39787e+06,849306,875639,3.44,4.68683
0,0.1,0.4,40,6106.24,29,48,0.713298,0.165429,0.665413,0.167047,0.357911,0.108771,1,0.996252,0.000306182,0.0940402,0.0117649,0.0864208,21.3407,11.5428,119.645,25.8518,533094,509721,1.42545e+06,892358,1.42218e+06,863473,890344,3.58333,4.72949
0,0.1,0.4,40,6206.34,12,50,0.74156,0.166448,0.687903,0.16692,0.370345,0.121731,1,0.996751,-0.00953157,0.0964806,0.0151246,0.0920671,20.2803,10.687,115.013,26.8205,542221,518326,1.44945e+06,907231,1.44608e+06,877665,905125,3.44,4.87918
0,0.1,0.4,40,6306.44,26,49,0.744394,0.167302,0.689693,0.168019,0.369425,0.122817,1,0.996953,-0.0113988,0.0965616,0.0162091,0.0926851,19.7587,10.1459,113.928,25.984,552093,527627,1.47405e+06,921956,1.47069e+06,891926,919869,3.5102,4.90365
0,0.1,0.4,40,6406.55,16,50,0.733078,0.170458,0.680525,0.16945,0.36995,0.114892,1,0.995651,-0.0217203,0.0869081,0.0101264,0.0981883,21.1111,11.855,117.601,24.681,561719,536687,1.49855e+06,936835,1.49506e+06,906241,934677,3.5,5.22781
0,0.1,0.4,40,6506.66,20,49,0.73425,0.171224,0.680651,0.170165,0.368978,0.115894,1,0.995402,-0.0196122,0.0865157,0.0104185,0.0991636,20.5132,11.2041,117.312,24.8478,571721,546260,1.52332e+06,951594,1.51985e+06,920649,949437,3.57143,5.25668
0,0.1,0.4,40,6606.76,38,50,0.731923,0.16827,0.680152,0.16868,0.370302,0.117437,1,0.99244,-0.0034954,0.0916369,0.0159933,0.095069,20.8709,12.0283,119.067,24.5854,581575,555626,1.54801e+06,966432,1.54447e+06,935043,964210,3.86,5.5064
0,0.1,0.4,40,6706.86,28,48,0.737025,0.168691,0.683297,0.169584,0.370007,0.119895,1,0.995886,-0.00283103,0.0932377,0.0144628,0.0966252,19.8366,10.7883,118.946,24.7106,591337,564892,1.5725e+06,981161,1.56892e+06,949209,978934,4.02083,5.56211
0,0.1,0.4,40,6806.96,27,50,0.745394,0.163419,0.693192,0.166685,0.369659,0.118655,1,0.99267,-0.0168636,0.0849341,0.00998697,0.0877337,20.6794,11.9773,119.746,23.2417,600317,573395,1.5963e+06,995981,1.59264e+06,963464,993698,4.12,5.72238
0,0.1,0.4,40,6907.06,33,49,0.747831,0.163951,0.694547,0.167427,0.371319,0.120244,1,0.993055,-0.014079,0.0835064,0.0101419,0.0886176,20.0274,11.1862,120.068,23.3672,610392,582979,1.62112e+06,1.01072e+06,1.61747e+06,977830,1.00845e+06,4.20408,5.74982
0,0.1,0.4,40,7007.17,12,50,0.740763,0.16282,0.691082,0.167523,0.377725,0.115571,1,0.994039,-0.0205514,0.0866327,-0.00195324,0.103624,21.1343,11.1714,114.541,21.9901,619693,591881,1.64527e+06,1.02557e+06,1.64149e+06,992232,1.02323e+06,4.02,6.10406
0,0.1,0.4,40,7107.27,23,49,0.741677,0.162892,0.690997,0.16766,0.380239,0.116504,1,0.993342,-0.0197949,0.0873486,-0.00637906,0.0998887,20.4472,10.1853,114.386,22.1865,629646,601435,1.66993e+06,1.04028e+06,1.66616e+06,1.00657e+06,1.03794e+06,4.10204,6.13869
0,0.1,0.4,40,7207.37,8,50,0.726124,0.159686,0.679651,0.163909,0.367986,0.120575,1,0.99182,-0.0235593,0.0891476,0.0209515,0.0931572,22.6838,11.8781,117.383,22.5153,639105,610490,1.69416e+06,1.05506e+06,1.69029e+06,1.02091e+06,1.05267e+06,4.38,6.24144
0,0.1,0.4,40,7307.47,22,49,0.726064,0.159828,0.678763,0.163971,0.369416,0.121369,1,0.99442,-0.0215735,0.0889512,0.0222705,0.0936397,22.3359,11.7439,116.663,22.1662,649119,620032,1.71894e+06,1.06982e+06,1.71505e+06,1.03531e+06,1.06741e+06,4.46939,6.27305
0,0.1,0.4,40,7407.57,34,50,0.748853,0.162556,0.697824,0.166301,0.368883,0.117599,1,0.990906,0.00737642,0.0831205,0.017272,0.100844,20.9411,10.7989,119.077,22.8432,658646,629096,1.74319e+06,1.08454e+06,1.73922e+06,1.04958e+06,1.08209e+06,4.48,6.5977
0,0.1,0.4,40,7507.67,26,48,0.754692,0.162439,0.701938,0.167,0.367991,0.120013,1,0.990435,0.00856199,0.0823655,0.015338,0.100264,20.3237,10.5407,118.443,21.9605,668442,638289,1.76774e+06,1.0993e+06,1.76377e+06,1.06382e+06,1.09683e+06,4.66667,6.66875
0,0.1,0.4,40,7607.78,15,50,0.755347,0.167053,0.699895,0.16798,0.380339,0.117509,1,0.993717,0.00108358,0.081058,0.0208717,0.103226,19.3944,10.5591,111.806,20.901,677892,647217,1.79194e+06,1.11405e+06,1.78784e+06,1.078e+06,1.11154e+06,4.4,6.81469
0,0.1,0.4,40,7707.88,17,48,0.759736,0.167206,0.702454,0.168738,0.3835,0.119215,1,0.99339,-0.00294976,0.0782668,0.0267394,0.0984677,18.6105,10.0034,111.236,21.0455,687798,656556,1.81661e+06,1.12882e+06,1.81254e+06,1.09228e+06,1.12631e+06,4.58333,6.89454
0,0.1,0.4,40,7807.98,18,50,0.755074,0.168338,0.696743,0.167551,0.381037,0.124806,1,0.994173,-0.00681555,0.0692729,0.0212773,0.102781,18.9332,11.9299,116.302,21.3054,696955,665192,1.84051e+06,1.14356e+06,1.83633e+06,1.10653e+06,1.141e+06,4.46,7.05751
0,0.1,0.4,40,7908.09,23,48,0.757914,0.16875,0.697467,0.168004,0.381846,0.126501,1,0.992724,-0.0108786,0.0673488,0.0225329,0.101165,17.781,10.612,116.223,21.7053,706848,674567,1.86517e+06,1.15832e+06,1.86098e+06,1.12089e+06,1.15575e+06,4.64583,7.14286
0,0.1,0.4,40,8008.19,28,50,0.764399,0.164177,0.709128,0.166222,0.382796,0.118446,1,0.995236,0.00110572,0.0768738,0.0129016,0.113344,20.7719,12.893,118.227,23.5006,716026,683257,1.88916e+06,1.17313e+06,1.88488e+06,1.13528e+06,1.17049e+06,4.42,7.05717
0,0.1,0.4,40,8108.29,41,49,0.765082,0.165047,0.708533,0.166813,0.383862,0.119249,1,0.993138,0.00067918,0.0775956,0.0133827,0.114444,19.9151,11.5291,118.552,23.6272,726191,692805,1.91403e+06,1.18784e+06,1.90976e+06,1.14956e+06,1.1852e+06,4.5102,7.10022
0,0.1,0.4,40,8208.4,34,50,0.743865,0.159288,0.689247,0.161431,0.389274,0.117476,1,0.994387,0.00455356,0.0816176,0.0100497,0.100034,19.3113,10.3279,116.503,23.8792,735667,701725,1.93834e+06,1.20267e+06,1.93396e+06,1.16388e+06,1.19998e+06,4.72,7.38929
0,0.1,0.4,40,8308.5,26,50,0.743865,0.159288,0.689247,0.161431,0.389274,0.117476,1,0.995631,0.00455356,0.0816176,0.0100497,0.100034,19.3113,10.3279,116.503,23.8792,745865,711389,1.96329e+06,1.21743e+06,1.9589e+06,1.17809e+06,1.21471e+06,4.72,7.38929
0,0.1,0.4,40,8408.6,25,50,0.754131,0.160425,0.70073,0.164305,0.38011,0.125797,1,0.994391,0.0106008,0.0872331,0.00402871,0.0957893,20.0534,11.5903,116.124,24.1154,755613,720588,1.98789e+06,1.23228e+06,1.9834e+06,1.19235e+06,1.2295e+06,5,7.57364
0,0.1,0.4,40,8508.7,40,50,0.754131,0.160425,0.70073,0.164305,0.38011,0.125797,1,0.996341,0.0106008,0.0872331,0.00402871,0.0957893,20.0534,11.5903,116.124,24.1154,765736,730109,2.01279e+06,1.24705e+06,2.0083e+06,1.2065e+06,1.24427e+06,5,7.57364
0,0.1,0.4,40,8608.8,19,50,0.747944,0.163476,0.693783,0.165859,0.358569,0.111715,1,0.994045,0.0130047,0.0965255,0.0160099,0.0971537,19.0004,11.5158,119.595,22.3692,775702,739474,2.03766e+06,1.26196e+06,2.03306e+06,1.22079e+06,1.2591e+06,4.68,7.77545
0,0.1,0.4,40,8708.9,20,49,0.751901,0.163605,0.696637,0.166528,0.360713,0.111485,1,0.992094,0.010137,0.0953736,0.0165812,0.0980569,18.6974,11.4337,119.313,22.5086,785940,749038,2.06266e+06,1.27672e+06,2.05805e+06,1.23487e+06,1.27385e+06,4.77551,7.8253
0,0.1,0.4,40,8809.01,32,50,0.752839,0.162651,0.697966,0.165088,0.362811,0.117527,1,0.992196,-0.00299688,0.0956204,0.0165971,0.09741,19.1773,10.8397,118.413,23.3689,795216,757733,2.08675e+06,1.29153e+06,2.08207e+06,1.249e+06,1.28863e+06,4.46,7.76198
0,0.1,0.4,40,8909.11,23,49,0.754824,0.163558,0.698956,0.166088,0.361317,0.115819,1,0.993767,-0.00289517,0.0965885,0.0189441,0.0969893,18.697,10.4097,118.704,23.5162,805058,767013,2.11134e+06,1.30629e+06,2.10665e+06,1.26322e+06,1.30337e+06,4.55102,7.81433
0,0.1,0.4,40,9009.21,15,50,0.745788,0.167007,0.693036,0.167945,0.374403,0.118586,1,0.99497,-0.0179125,0.0871633,0.0161575,0.10951,19.7725,10.0432,119.491,26.0819,814911,776283,2.13607e+06,1.32116e+06,2.13128e+06,1.2775e+06,1.31819e+06,4.4,7.66812
0,0.1,0.4,40,9109.31,18,50,0.745788,0.167007,0.693036,0.167945,0.374403,0.118586,1,0.994218,-0.0179125,0.0871633,0.0161575,0.10951,19.7725,10.0432,119.491,26.0819,825273,786129,2.16117e+06,1.3359e+06,2.15638e+06,1.29182e+06,1.33292e+06,4.4,7.66812
0,0.1,0.4,40,9209.41,35,50,0.738277,0.168422,0.686479,0.168114,0.39481,0.118908,1,0.995706,-0.00512987,0.0953452,0.0159489,0.119355,19.6126,10.2752,117.158,24.5818,835662,796013,2.18637e+06,1.35071e+06,2.18151e+06,1.30617e+06,1.34772e+06,4.6,7.84092
0,0.1,0.4,40,9309.51,29,49,0.741142,0.168049,0.688725,0.168317,0.390701,0.116874,1,0.995774,-0.00529385,0.0963063,0.0156814,0.120552,19.4932,10.3452,117.749,24.4761,845635,805416,2.21108e+06,1.36545e+06,2.20621e+06,1.32038e+06,1.36244e+06,4.69388,7.89266
0,0.1,0.4,40,9409.61,22,50,0.738526,0.16723,0.685854,0.167749,0.385237,0.116518,1,0.995562,-0.00761535,0.0842315,0.0127729,0.121223,20.4917,11.4027,121.496,27.5223,855620,814803,2.23581e+06,1.38019e+06,2.23082e+06,1.33459e+06,1.37712e+06,4.92,8.16784
0,0.1,0.4,40,9509.72,29,48,0.737044,0.167561,0.683227,0.167829,0.384861,0.115899,1,0.994223,-0.0110219,0.0839672,0.0166095,0.115976,19.9101,11.264,119.485,26.2178,865324,824007,2.26024e+06,1.39492e+06,2.25524e+06,1.34888e+06,1.39184e+06,5.125,8.27301
0,0.1,0.4,40,9609.82,38,50,0.749794,0.166809,0.694981,0.168039,0.376721,0.119471,1,0.994385,-0.013919,0.0928371,0.0279437,0.112842,19.3569,10.0983,125.34,31.037,874735,832972,2.2844e+06,1.40966e+06,2.27933e+06,1.36315e+06,1.40656e+06,4.8,8.10185
0,0.1,0.4,40,9709.92,42,49,0.752308,0.16749,0.69617,0.168978,0.379147,0.119446,1,0.996328,-0.0127709,0.0934275,0.0293112,0.113577,18.703,9.09284,125.805,31.1794,884828,842461,2.30923e+06,1.4244e+06,2.30415e+06,1.37743e+06,1.4213e+06,4.89796,8.15474
